,time,open,high,low,close,tick_volume,spread,real_volume
1441,2023-02-20,1838.704,1847.453,1837.32,1841.712,51902,125,0
1442,2023-02-21,1841.742,1843.839,1830.242,1835.585,100274,125,0
1443,2023-02-22,1835.589,1845.897,1823.511,1825.113,102612,125,0
1444,2023-02-23,1825.124,1833.761,1817.323,1823.203,99235,125,0
1445,2023-02-24,1823.235,1827.792,1808.938,1810.815,100815,125,0
1446,2023-02-26,1811.929,1813.116,1811.277,1811.778,2182,125,0
1447,2023-02-27,1811.766,1820.125,1806.409,1817.175,89136,125,0
1448,2023-02-28,1817.176,1831.142,1804.498,1825.588,94220,125,0
1449,2023-03-01,1825.59,1844.612,1823.08,1836.591,103939,125,0
1450,2023-03-02,1836.568,1838.969,1829.984,1837.856,96435,125,0
1451,2023-03-03,1837.825,1856.316,1837.794,1855.302,90672,125,0
1452,2023-03-05,1853.731,1854.114,1852.19,1852.332,1832,125,0
1453,2023-03-06,1852.339,1858.185,1845.104,1846.36,84791,125,0
1454,2023-03-07,1846.341,1851.524,1812.708,1813.974,110321,125,0
1455,2023-03-08,1813.972,1824.273,1809.409,1815.234,96063,125,0
1456,2023-03-09,1815.247,1835.503,1811.959,1831.606,90828,125,0
1457,2023-03-10,1831.603,1870.068,1827.739,1867.146,141641,125,0
1458,2023-03-12,1883.276,1894.406,1875.787,1877.783,25381,125,0
1459,2023-03-13,1877.753,1914.615,1871.533,1912.062,194915,125,0
1460,2023-03-14,1912.092,1914.15,1895.303,1903.102,151655,125,0
1461,2023-03-15,1903.093,1937.325,1885.626,1921.193,193156,125,0
1462,2023-03-16,1921.183,1933.475,1907.41,1921.331,165432,125,0
1463,2023-03-17,1921.343,1988.348,1918.234,1988.166,151326,125,0
1464,2023-03-19,1985.962,1988.17,1975.074,1976.974,11961,125,0
1465,2023-03-20,1977.005,2009.743,1965.665,1976.623,190895,125,0
1466,2023-03-21,1976.619,1985.158,1935.38,1943.144,139953,125,0
1467,2023-03-22,1943.112,1978.84,1934.182,1969.743,164665,125,0
1468,2023-03-23,1969.792,2003.314,1966.354,1991.361,156339,125,0
1469,2023-03-24,1991.329,2003.026,1975.202,1978.814,158796,125,0
1470,2023-03-26,1976.438,1976.772,1969.391,1975.728,7621,125,0
1471,2023-03-27,1975.695,1978.729,1943.981,1958.109,122547,125,0
1472,2023-03-28,1958.077,1975.293,1949.178,1971.904,105018,125,0
1473,2023-03-29,1971.936,1972.891,1958.703,1963.234,94573,125,0
1474,2023-03-30,1963.238,1984.289,1955.383,1978.424,99978,125,0
1475,2023-03-31,1978.449,1987.599,1966.844,1969.414,102316,125,0
1476,2023-04-02,1966.312,1967.445,1957.002,1957.064,9069,125,0
1477,2023-04-03,1957.1,1990.514,1949.654,1984.973,111853,125,0
1478,2023-04-04,1984.966,2025.02,1976.896,2021.771,124053,125,0
1479,2023-04-05,2021.785,2032.084,2009.831,2020.324,116543,125,0
1480,2023-04-06,2020.307,2020.945,2000.723,2007.798,97625,125,0
1481,2023-04-09,1997.096,2006.532,1996.057,2005.534,5720,125,0
1482,2023-04-10,2005.566,2005.898,1981.549,1992.426,96556,125,0
1483,2023-04-11,1992.393,2007.447,1988.81,2004.696,84783,125,0
1484,2023-04-12,2004.713,2028.164,2000.982,2018.186,122470,125,0
1485,2023-04-13,2018.155,2048.672,2015.314,2039.751,108709,125,0
1486,2023-04-14,2039.75,2047.429,1992.401,2004.29,132327,125,0
1487,2023-04-16,2001.244,2005.044,1999.688,2002.885,5116,125,0
1488,2023-04-17,2002.904,2015.035,1981.012,1993.943,109436,125,0
1489,2023-04-18,1993.952,2011.861,1991.111,2005.755,97027,125,0
1490,2023-04-19,2005.757,2008.152,1969.213,1993.653,113419,125,0
1491,2023-04-20,1993.688,2012.259,1990.514,2005.351,109836,125,0
1492,2023-04-21,2005.324,2005.545,1971.621,1982.924,118259,125,0
1493,2023-04-23,1982.119,1985.381,1981.826,1984.657,3555,125,0
1494,2023-04-24,1984.656,1996.533,1974.066,1995.053,100103,125,0
1495,2023-04-25,1995.052,2003.868,1976.105,2000.21,125714,125,0
1496,2023-04-26,2000.215,2009.235,1983.385,1991.685,127313,125,0
1497,2023-04-27,1991.654,2003.333,1974.041,1986.951,121200,125,0
1498,2023-04-28,1986.916,1995.032,1975.981,1989.414,121129,125,0
1499,2023-04-30,1989.639,1991.914,1986.657,1986.933,4632,125,0
1500,2023-05-01,1986.965,2005.958,1977.092,1981.411,116652,125,0
1501,2023-05-02,1981.423,2019.308,1978.493,2015.943,122117,125,0
1502,2023-05-03,2015.954,2080.004,2007.688,2051.994,152921,125,0
1503,2023-05-04,2051.996,2059.575,2030.364,2049.96,166002,125,0
1504,2023-05-05,2049.961,2052.994,1999.376,2016.687,127094,125,0
1505,2023-05-07,2016.465,2017.319,2014.212,2016.044,4614,125,0
1506,2023-05-08,2016.013,2029.357,2015.187,2021.275,91195,125,0
1507,2023-05-09,2021.303,2037.599,2019.52,2036.308,93231,125,0
1508,2023-05-10,2036.348,2048.07,2021.418,2031.474,117031,125,0
1509,2023-05-11,2031.448,2040.968,2011.141,2016.383,131655,125,0
1510,2023-05-12,2016.405,2022.536,2000.933,2010.949,107767,125,0
1511,2023-05-14,2008.702,2011.994,2008.702,2009.596,3383,125,0
1512,2023-05-15,2009.589,2022.12,2008.675,2014.437,87550,125,0
1513,2023-05-16,2014.448,2018.317,1985.489,1989.667,108067,125,0
1514,2023-05-17,1989.67,1993.015,1974.846,1982.752,96742,125,0
1515,2023-05-18,1982.754,1986.01,1951.974,1958.393,102465,125,0
1516,2023-05-19,1958.402,1984.224,1954.041,1977.741,113065,125,0
1517,2023-05-21,1978.043,1981.518,1978.043,1980.866,3723,125,0
1518,2023-05-22,1980.865,1982.567,1968.765,1969.821,98369,125,0
1519,2023-05-23,1969.852,1977.776,1954.269,1975.017,114176,125,0
1520,2023-05-24,1975.059,1985.15,1956.721,1959.789,111495,125,0
1521,2023-05-25,1959.786,1964.749,1938.851,1940.553,119452,125,0
1522,2023-05-26,1940.53,1957.257,1936.651,1946.871,101873,125,0
1523,2023-05-28,1943.302,1946.286,1943.265,1943.691,4454,125,0
1524,2023-05-29,1943.724,1949.755,1940.308,1941.721,54792,125,0
1525,2023-05-30,1941.535,1963.517,1932.08,1958.572,104715,125,0
1526,2023-05-31,1958.582,1974.638,1953.662,1966.282,110052,125,0
